Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,OrientationAzimuth,OrientationPitch,OrientationRoll,GameRotX,GameRotY,GameRotZ,GameRotW,Pressure
1747655980719,-0.25603202,4.8885365,8.743374,-0.13561198,0.087506376,-0.09262237,8.45625,-66.525,-7.2000003,145.16032,-30.147947,0.22503439,0.18127808,0.18377292,0.6829731,0.68331075,0.0
1747655980739,-0.12921242,4.7832522,8.745767,-0.09529491,-0.033444848,-0.07735075,8.606251,-66.4875,-8.00625,145.54144,-29.605595,-0.8095551,0.17527053,0.1848491,0.6822669,0.6852904,0.0
1747655980759,0.016749758,4.723432,8.7266245,-0.08918626,-0.034666575,-0.093233235,8.55,-66.412506,-7.93125,145.691,-29.257372,-0.8410172,0.17433807,0.18199094,0.6823741,0.6861859,0.0
1747655980780,-0.23928227,4.699504,8.673982,-0.10079269,0.006872229,-0.07918335,8.53125,-66.506256,-8.306251,145.7945,-29.001165,-0.67760235,0.17349878,0.18013519,0.6822244,0.68703663,0.0
1747655980800,-0.28235307,4.7377887,8.496913,-0.12522727,0.038026333,-0.03825541,8.868751,-66.543755,-8.625,145.92786,-28.81484,-0.8642134,0.17137009,0.18011267,0.6818762,0.6879219,0.0
1747655980822,-0.086141616,4.7114677,8.85823,-0.17715079,0.07284562,-0.01687514,8.6625,-66.80625,-8.175,145.99573,-28.64097,-1.1034819,0.16960093,0.1802683,0.6818315,0.68836373,0.0
1747655980842,-0.14356937,4.658826,9.138189,-0.11484258,0.100945406,-0.03459022,8.71875,-66.825005,-8.45625,146.01134,-28.351772,-1.1147383,0.1677422,0.17866601,0.6824428,0.6886311,984.39496
1747655980862,-0.65084773,4.6205406,9.217153,-0.055588696,0.039858926,-0.01809687,8.681251,-66.881256,-8.4375,146.0377,-28.213829,-1.151779,0.16540135,0.17800131,0.6826588,0.6891552,984.39496
1747655980883,-0.66999036,4.5415773,9.0544405,0.017715078,0.035582874,0.053985175,8.625,-66.3,-8.137501,146.15855,-27.898956,-1.6099603,0.16234422,0.17869446,0.6826745,0.689687,984.38715
1747655980904,-0.4761717,4.5248275,9.035298,0.055588696,0.0490219,0.09613484,8.90625,-66.05625,-8.08125,146.12315,-27.783688,-1.864586,0.16012637,0.1795464,0.68319786,0.689466,984.38715
1747655980925,-0.27996024,4.7425747,8.752945,0.10995566,-0.0151189035,0.08575014,9.056251,-65.793755,-7.65,146.0276,-27.806417,-1.8954802,0.15993123,0.17999898,0.6837797,0.6888162,984.394
1747655980947,-0.18903299,4.95075,8.193025,0.06902772,-0.005345067,0.0570395,9.356251,-65.925,-7.6875005,145.91992,-28.014137,-1.8203727,0.16148776,0.18091048,0.6839583,0.6880364,984.394
1747655980967,-0.32542387,4.955536,8.279166,-0.06597339,0.09483676,0.043600474,9.168751,-65.9625,-7.7812505,145.81729,-28.267344,-1.785201,0.16329435,0.1826345,0.6839928,0.68711966,984.39545
1747655980989,-0.09810573,4.8598228,8.788837,-0.10506874,0.066126116,0.07047852,9.150001,-65.83125,-7.70625,145.72684,-28.365984,-1.8789408,0.16291484,0.18363571,0.68439436,0.6865428,984.39545
1747655981011,0.2943172,4.6468616,9.425328,0.0048869182,-0.06887501,0.036880963,9.243751,-66.037506,-7.8562503,145.61578,-28.30741,-1.8225212,0.16328883,0.1818893,0.6853293,0.685986,984.3942
1747655981033,-0.0071784677,4.6372905,8.762517,0.091018856,-0.061544627,0.057650365,8.925,-65.981255,-7.18125,145.4979,-28.217459,-1.3340782,0.16487364,0.17987883,0.6858261,0.6856404,984.3984
1747655981054,0.18664017,4.7282176,8.315059,0.045814857,-0.02489274,0.05948296,9.075001,-65.86875,-7.5375004,145.3982,-28.313524,-1.1623621,0.16628306,0.17960462,0.6861881,0.6850094,984.3984
1747655981078,0.0047856453,4.766503,8.032705,-0.043982264,-0.051159926,0.03199404,9.0375,-65.850006,-7.4625,145.30403,-28.414703,-0.99305415,0.16801459,0.1792895,0.6864822,0.6843746,984.3984
1747655981099,-0.08853444,4.6229334,8.2145605,-0.14416409,-0.027947064,0.023441937,8.71875,-66.01875,-7.55625,145.2421,-28.439072,-0.87569666,0.16848044,0.17868894,0.68665826,0.6842405,984.3984
